id|name|population2025|population2035|lat|lng
05|Antioquia|6951825|7285210|6.702032125|-75.50455704
08|Atlántico|2845169|2932271|10.67700953|-74.96521949
11|Bogotá, D.C.|7937898|7802297|4.316107698|-74.1810727
13|Bolívar|2278770|2362817|8.079796863|-74.23514814
15|Boyacá|1324122|1419117|5.891672889|-72.62788054
17|Caldas|1051282|1088038|5.280139978|-75.27498304
18|Caquetá|430884|445942|0.798556195|-73.95946756
19|Cauca|1590171|1722536|2.396833887|-76.82423283
20|Cesar|1414859|1560560|9.53665993|-73.51783154
23|Córdoba|1929336|2038014|8.358549754|-75.79200872
25|Cundinamarca|3657407|4602230|4.771120716|-74.43111092
27|Chocó|615082|692147|5.397581542|-76.942811
41|Huila|1205318|1309775|2.570143029|-75.58434836
44|La Guajira|1073851|1205360|11.47687008|-72.42951072
47|Magdalena|1529038|1638460|10.24738355|-74.26175733
50|Meta|1160351|1277632|3.345562732|-72.95645988
52|Nariño|1719281|1786054|1.571094987|-77.87020496
54|Norte de Santander|1717992|1743800|8.09513751|-72.88188297
63|Quindío|568560|585913|4.455241567|-75.68962853
66|Risaralda|974639|968595|5.240757239|-76.00244469
68|Santander|2393214|2501133|6.693633184|-73.48600894
70|Sucre|1016826|1100018|9.064941448|-75.10981755
73|Tolima|1386826|1427898|4.03477252|-75.2558271
76|Valle del Cauca|4652512|4622334|3.569858693|-76.62850427
81|Arauca|320723|339465|6.569577215|-70.96732394
85|Casanare|481938|535547|5.404064237|-71.60188073
86|Putumayo|393988|437045|0.3673031|-75.51406183
88|Archipiélago de San Andrés, Providencia Y Santa Catalina|62181|60195|12.54311512|-81.71762382
91|Amazonas|87480|96663|-1.54622768|-71.50212858
94|Guainía|59240|71339|2.727842865|-68.81661272
95|Guaviare|103237|127141|1.924531973|-72.12859569
97|Vaupés|49142|61074|0.64624561|-70.56140566
99|Vichada|127467|143538|4.713557125|-69.41400011
