id|localityId|name|type|population2025|population2035|lat|lng|municipalityId|municipalityName
1100101|01|Usaquén|localidad|602412|687885|4.742092413856286|-74.02782483459404|11001|Bogotá, D.C.
1100102|02|Chapinero|localidad|184757|204121|4.644982720078637|-74.03688302787386|11001|Bogotá, D.C.
1100103|03|Santa Fé|localidad|107851|115972|4.593972728724716|-74.0362175815148|11001|Bogotá, D.C.
1100104|04|San Cristóbal|localidad|411570|439049|4.548749008988841|-74.06607256050648|11001|Bogotá, D.C.
1100105|05|Usme|localidad|422489|502274|4.390025128368803|-74.14280649581936033|11001|Bogotá, D.C.
1100106|06|Tunjuelito|localidad|186127|193527|4.574841398493447|-74.13598945142014|11001|Bogotá, D.C.
1100107|07|Bosa|localidad|737647|771295|4.621779959835884|-74.19438893446508|11001|Bogotá, D.C.
1100108|08|Kennedy|localidad|1041286|1081043|4.6303473513560895|-74.15266762383382|11001|Bogotá, D.C.
1100109|09|Fontibón|localidad|411638|443296|4.678182925952192|-74.14015130074624|11001|Bogotá, D.C.
1100110|10|Engativá|localidad|822369|849053|4.701125563272901|-74.113187703298|11001|Bogotá, D.C.
1100111|11|Suba|localidad|1332958|1485355|4.763208121309928|-74.0758452755469|11001|Bogotá, D.C.
1100112|12|Barrios Unidos|localidad|159163|177072|4.669566933458008|-74.07355160510068|11001|Bogotá, D.C.
1100113|13|Teusaquillo|localidad|164384|160048|4.641173586592107|-74.08576901958143|11001|Bogotá, D.C.
1100114|14|Los Mártires|localidad|82827|86592|4.607155934954456|-74.08794786812679|11001|Bogotá, D.C.
1100115|15|Antonio Nariño|localidad|86119|95290|4.588770674796082|-74.10284240061449|11001|Bogotá, D.C.
1100116|16|Puente Aranda|localidad|259314|264460|4.616245470318945|-74.111580233529|11001|Bogotá, D.C.
1100117|17|La Candelaria|localidad|18941|21601|4.596605075136378|-74.07207079532802|11001|Bogotá, D.C.
1100118|18|Rafael Uribe Uribe|localidad|393869|412281|4.566476900860273|-74.11336318293525|11001|Bogotá, D.C.
1100119|19|Ciudad Bolívar|localidad|671670|731503|4.482460265935783|-74.16195890440652|11001|Bogotá, D.C.
1100120|20|Sumapaz|localidad|4021|4685|4.036568747869632|-74.25697871800469|11001|Bogotá, D.C.
